 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
0.7494150000000001, -0.01259126, -0.03600619, 0.002712069, 0.009034208, -0.004125162, 0.01258123, -0.02654372, -0.001000276, -0.02888091, 0.02548397, -0.02902808, -0.02129521, -0.01219396, -0.007600391, 0.009790385, -0.01340726, -0.01982227, -0.02135554, -0.01285514, -0.0008535984, 0.009142192, -0.009649531, -0.01163191, -0.001091007
0.799376, -0.01127571, -0.03575698, -0.002396882, 0.006205412, -0.004884834, 0.005924137, -0.02588945, -0.001512859, -0.02683095, 0.02547487, -0.02654279, -0.03047376, -0.02109348, -0.009952078, 0.009037371, -0.01356439, -0.02511741, -0.01944675, -0.01366874, -0.002007353, 0.009770319, -0.01184246, -0.01481103, -0.005762313
0.849337, -0.01284165, -0.03402854, 0.0003051777, 0.001806995, -0.002540123, 0.004681661, -0.02943386, 0.003705936, -0.03194442, 0.02463901, -0.02766429, -0.0253775, -0.01456745, -0.009906283, 0.0020495, -0.01836706, -0.01849907, -0.02122003, -0.007439232, 0.0003126735, 0.009292295, -0.006654829, -0.01515284, -0.0015555
0.899298, -0.01389645, -0.03706538, -0.0008714432, 0.002831536, -0.003032994, 0.007476131, -0.03258007, -0.002775744, -0.02861338, 0.02232294, -0.02564396, -0.02026076, -0.01470535, -0.01119614, 0.007101227, -0.01559414, -0.01801576, -0.02548173, -0.01420314, 0.002557694, 0.005450781, -0.0026554, -0.01652247, -0.005924552
0.949259, -0.013302, -0.03822482, -0.002413584, -0.0009300137, -0.001372788, 0.00437141, -0.02535237, -0.006642705, -0.02796725, 0.02058679, -0.02066414, -0.0313305, -0.01816132, -0.01011789, 0.003172896, -0.01739991, -0.01977547, -0.02213044, -0.0132922, -0.005540267, 0.006420138, -0.005008598, -0.01821342, -0.008818028
0.99922, -0.0112795, -0.03831473, -0.0009946362, 0.0009256809, -0.003462431, -0.000661805, -0.03070164, -0.005969263, -0.0257153, 0.01547073, -0.02621226, -0.02863462, -0.0208945, -0.009980379, 0.004010431, -0.01909964, -0.02382339, -0.0225039, -0.01812976, -0.002820251, 0.007209736, -0.007308083, -0.01549071, -0.006678443
1.049181, -0.0117933, -0.04412712, -0.007974608, 0.003328605, -0.003914665, -0.0009280902, -0.03295927, -0.003394654, -0.02780467, 0.0154707, -0.02644297, -0.02954851, -0.02408262, -0.01551676, 0.002602814, -0.01798282, -0.02431098, -0.02264035, -0.01885524, -0.002250823, 0.005717336, -0.003092884, -0.01088223, -0.003211165
1.099142, -0.01735319, -0.0391838, 0.0004129102, 0.001186772, -0.006891948, 0.00206542, -0.02834944, -0.008134356, -0.0346103, 0.02134146, -0.0208837, -0.02764527, -0.01743977, -0.01422612, 0.002438304, -0.01736521, -0.01648143, -0.02343309, -0.01455385, -0.006544268, 0.002719242, -0.005145758, -0.01145495, -0.008703114
1.149103, -0.01638581, -0.0390228, -0.003589765, -9.261144e-06, -0.003502023, -0.002025947, -0.03385647, -0.005766211, -0.02868066, 0.01559178, -0.02939989, -0.03355901, -0.01887804, -0.01379629, 0.003871924, -0.01522719, -0.02205739, -0.02315829, -0.01340795, 0.0009570034, 0.009489864, -0.008517496, -0.0156592, -0.009113428
1.199064, -0.01760821, -0.03967883, -0.008097975, -0.005705046, -0.004487105, -0.006955547, -0.02977694, -0.002877865, -0.02916115, 0.008135371, -0.02901214, -0.02891076, -0.01733851, -0.009348547, 0.002823221, -0.016394, -0.02350866, -0.02277569, -0.01872515, 0.0005429198, 0.002786702, -0.01415106, -0.01306636, -0.01046628
1.249025, -0.01021967, -0.03936164, -0.003472181, -0.002386593, -0.00618873, -0.01039692, -0.03299149, -0.009155201, -0.03580358, 0.009653823, -0.02642166, -0.03324165, -0.02307629, -0.01232961, -0.003227163, -0.01974491, -0.02115112, -0.02755632, -0.01279684, -0.0009435067, 0.001590621, -0.003171031, -0.0170577, -0.01731845
1.298986, -0.01284865, -0.04066026, -0.003676656, 0.0006815045, 0.0003369796, -0.008367824, -0.03414924, -0.01480033, -0.03315888, 0.0003209132, -0.0285458, -0.0309707, -0.01263678, -0.01403127, -0.0002520449, -0.01823007, -0.02423906, -0.02999726, -0.01630509, -0.009499801, 0.005544474, -0.004266428, -0.01722788, -0.01127282
1.348947, -0.01870051, -0.04288333, -0.011611, 0.0004041108, -0.007273379, -0.01044153, -0.03539637, -0.01124901, -0.04023854, -0.0002811556, -0.02495547, -0.03488316, -0.0169524, -0.01248197, -0.002171157, -0.01341641, -0.02097953, -0.02728866, -0.01619001, 0.003882215, -0.006548935, -0.008231625, -0.01358351, -0.008094219
1.398908, -0.01689756, -0.04577675, -0.01162425, 0.004483266, -0.006007541, -0.01076135, -0.03339031, -0.005099791, -0.03578094, 0.0009353216, -0.0189097, -0.03656942, -0.01863209, -0.01536979, 0.001017638, -0.01829071, -0.02084699, -0.02276801, -0.01018891, -0.002743764, -0.009931946, -0.01384794, -0.01497579, -0.01417983
1.448869, -0.0118922, -0.0399562, -0.009689381, 0.004160531, -0.005492126, -0.005573002, -0.03276759, -0.009205146, -0.03293464, 0.0005228722, -0.02954788, -0.03420734, -0.02034712, -0.01074184, 0.002286562, -0.01605292, -0.02500522, -0.02329648, -0.008785265, -0.006239432, -0.008270808, -0.006931809, -0.01197391, -0.009293368
1.49883, -0.02266552, -0.0432028, -0.008649449, 0.0008077565, 0.0003399905, -0.01118542, -0.02729704, -0.01139899, -0.0298293, 0.0004343888, -0.03052629, -0.02530508, -0.01625067, -0.009110576, -0.002517182, -0.01144633, -0.0257893, -0.0227021, -0.01919704, 0.0007619034, -0.003835668, -0.006273928, -0.01163377, -0.01181468
1.548791, -0.01173002, -0.04157168, -0.006968216, 0.004288994, 0.003832131, -0.0044417, -0.02977579, -0.007457876, -0.02564672, 0.005040939, -0.02483466, -0.03362614, -0.02046712, -0.004999678, 0.004646135, 0.002678715, -0.01995962, -0.02341604, -0.00938849, 0.004511599, -0.00173299, -0.007303142, -0.007940327, -0.008824823
1.598752, -0.005884036, -0.04301923, -0.005744573, 0.0001620646, 0.0150975, -0.002483838, -0.02475035, -0.008360265, -0.02782538, 0.005323705, -0.02075117, -0.02929834, -0.01097841, -0.00448548, 0.01043504, 0.008383732, -0.02108074, -0.02694543, -0.004879519, 0.00422166, -0.0007132926, -0.007154488, -0.003263237, -0.009604802
1.648713, -0.01469205, -0.03867485, -0.0005825359, 0.004886862, 0.01604768, -0.004520237, -0.02412087, -0.01358272, -0.03350009, 0.007408093, -0.02157118, -0.02762168, -0.01409311, -0.001802368, 0.01472651, 0.01417553, -0.009931032, -0.02441073, -0.01237386, 0.008733399, 0.001549291, -0.007346961, 0.002105221, -0.01345951
1.698674, -0.009320604, -0.03400765, -0.002291587, -0.001255499, 0.01898155, -0.009353112, -0.02857039, -0.01356836, -0.02401659, 0.005830899, -0.02164286, -0.02939364, -0.008886574, -0.002159966, 0.01797582, 0.0201175, -0.01395012, -0.02334022, -0.01485451, 0.01559578, -0.0003824849, -0.004784559, 0.0001653405, -0.005772343
1.748635, -0.006778868, -0.03502532, -0.002823684, -0.002336964, 0.01814534, -0.006314369, -0.02522184, -0.01561109, -0.02995869, 0.006271837, -0.01948934, -0.03107589, -0.01760425, -0.004491642, 0.01389718, 0.0149275, -0.02404581, -0.02238633, -0.01066122, 0.00291243, 0.0008638779, -0.004466287, 0.004552774, -0.00312772
1.798596, -0.006574208, -0.04126232, -0.01022328, 0.001393585, 0.01768361, -0.005752385, -0.03487979, -0.01570255, -0.02643687, 0.008125486, -0.02313404, -0.03312054, -0.01821758, -0.003451166, 0.01656749, 0.02365837, -0.01636018, -0.02575302, -0.01184627, 0.006483416, -0.004109685, -0.008954883, -0.0004936616, -0.007704202
1.848557, -0.009920786, -0.03769117, -0.0104716, -0.001217609, 0.02153508, -0.002196291, -0.03032823, -0.01523654, -0.02963673, 0.008304818, -0.01493035, -0.04554043, -0.01574915, -0.002591901, 0.01518036, 0.01999666, -0.01173954, -0.02223222, -0.01336643, 0.009089733, -0.003039566, -0.006470834, 0.004139303, -0.0116707
1.898518, -0.007372485, -0.03922932, -0.005194662, 0.006111522, 0.02487265, -0.005597296, -0.02755581, -0.01122307, -0.02713692, 0.002165827, -0.02114031, -0.03027645, -0.01797449, -0.000429328, 0.01377565, 0.01853897, -0.02147859, -0.02287891, -0.009743663, 0.01092183, -0.007807646, -0.008833149, 0.001134255, -0.005135887
1.948479, -0.003656924, -0.03710587, -0.009434711, -0.001415335, 0.02320852, -0.007148332, -0.03193453, -0.01450095, -0.0334698, 0.0009764649, -0.02793295, -0.02916732, -0.01636452, -0.002975517, 0.005431441, 0.01827539, -0.01307452, -0.02869179, -0.01536521, 0.005169622, 0.0005968083, -0.01004847, -0.001435278, -0.01101664
1.99844, -0.01110174, -0.0373052, -0.007750183, -0.003476328, 0.01999638, -0.006035334, -0.03452528, -0.01493718, -0.03482439, 0.003961392, -0.02271873, -0.02970574, -0.02070758, -0.002314866, 0.01078926, 0.0186757, -0.01994607, -0.02306624, -0.01272801, 0.0102415, 0.002803068, -0.01130469, -0.0008150443, -0.009873595
2.048401, -0.007652541, -0.04164555, -0.01405322, -0.004668282, 0.01603239, -0.01349942, -0.03139672, -0.01322963, -0.03021171, 0.0003340071, -0.02658705, -0.03922309, -0.02109547, -0.008970949, 0.007762033, 0.01551136, -0.02501086, -0.03067222, -0.01396488, 0.003304703, -0.00868853, -0.006196165, 2.099617e-05, -0.008676889
2.098362, -0.01258582, -0.04131349, -0.005789066, 0.001211891, 0.01148104, -0.01189977, -0.03450785, -0.01745175, -0.03681273, -0.002269401, -0.02771433, -0.03732403, -0.01393503, -0.008933753, 0.00744539, 0.0156367, -0.02233394, -0.02694535, -0.01214532, 0.008030779, -0.003830233, -0.0123863, -0.001515113, -0.007231059
2.148323, -0.01178809, -0.03943696, -0.01833932, -0.001834232, 0.01235584, -0.01298145, -0.03649221, -0.002391657, -0.0351516, -0.008801743, -0.02904695, -0.04216645, -0.01548433, -0.007059013, 0.01145453, 0.02066987, -0.02649272, -0.02583197, -0.01463418, 0.00934542, -0.01007679, -0.009205274, -0.006123359, -0.01109307
